Instance;SINGLE Value;Nb cols; Durations(s);MULTI Value;Nb cols;Duration(s)
uniform_2;3.2609;56;0.15;3.2609;255;0.07
uniform_3;4.4126;83;0.39;4.4126;446;0.14
uniform_4;4.5890;131;0.84;4.5890;784;0.28
uniform_5;5.6891;154;1.44;5.6891;1013;0.45
uniform_6;7.6812;216;2.25;7.6812;1284;0.79
uniform_7;7.0258;265;3.24;7.0258;1550;0.64
uniform_9;8.9866;347;5.75;8.9866;2118;1.35
uniform_10;8.4609;400;7.53;8.4609;2756;1.45
uniform_12;10.3767;509;15.81;10.3767;3835;2.38
uniform_13;10.0520;514;14.35;10.0520;4095;2.47
uniform_14;9.3762;641;17.40;9.3762;5124;2.40
uniform_15;9.4575;756;21.87;9.4575;5175;2.55
uniform_16;13.7697;673;25.45;13.7697;5583;3.92
uniform_17;10.3786;823;27.84;10.3786;6281;3.28
uniform_18;10.3500;957;34.57;10.3500;7179;3.51
uniform_19;11.4993;917;35.98;11.4993;7692;4.33
uniform_20;12.9949;962;44.48;12.9949;8326;5.95
uniform_21;12.3859;1006;49.11;12.3859;8774;6.60
uniform_22;12.1359;1117;55.15;12.1359;10902;6.42
uniform_23;11.1971(TLR);1134;60.00;11.1252;10629;6.61
uniform_24;14.2595(TLR);1043;60.04;13.6443;11607;8.41
uniform_25;15.0131(TLR);986;60.06;13.7025;12329;8.59
uniform_26;26.8287(TLR);760;60.09;24.9702;12607;13.16
uniform_27;20.7280(TLR);808;60.07;17.3597;12368;12.42
uniform_28;20.4982(TLR);836;60.03;13.7468;15905;10.49
uniform_29;26.5025(TLR);757;60.07;16.4404;16203;13.82
uniform_30;35.6422(TLR);712;60.01;14.2201;18196;14.32
uniform_31;36.0821(TLR);651;60.08;21.7507;18038;22.34
uniform_32;51.6215(TLR);615;60.02;14.7096;18965;14.50
uniform_33;71.8679(TLR);520;60.00;13.6904;21316;22.09
uniform_34;80.1438(TLR);457;60.06;14.6342;22622;22.04
uniform_35;118.2396(TLR);448;60.05;13.5831;23211;21.85
uniform_36;117.1736(TLR);417;60.04;17.3402;26340;33.52
uniform_37;113.9680(TLR);323;60.10;14.8283;23064;22.99
uniform_38;119.2056(TLR);379;60.05;16.2680;24894;25.60
uniform_39;116.6482(TLR);388;60.07;18.4140;27740;32.90
uniform_40;125.0635(TLR);369;60.07;19.9123;31948;43.69
uniform_41;124.9377(TLR);341;60.07;18.0479;27460;35.44
uniform_42;130.1364(TLR);327;60.06;19.6141;31694;44.22
uniform_43;131.6941(TLR);374;60.06;18.1065;33034;37.58
uniform_44;129.4426(TLR);373;60.07;20.4505;30628;39.71
uniform_45;140.0112(TLR);359;60.04;17.5671;35815;33.97
uniform_46;145.6087(TLR);380;60.15;19.7402;35253;38.86
uniform_47;147.6986(TLR);364;60.12;20.1386;36121;44.78
uniform_48;153.0965(TLR);345;60.10;17.2657;37366;45.63
uniform_49;163.3222(TLR);270;60.01;17.0555;43593;52.09
uniform_50;159.9087(TLR);299;60.08;18.2410;40786;43.95
