Instance;Opt Found?;Best Sol;Dual Bound;Gap;Duration(s); Relax Sol
uniform_2;YES;3.2609;3.2609;0.00%;0.2374;2.2194
uniform_3;YES;4.4126;4.4126;0.00%;0.0362;2.5117
uniform_4;YES;4.7908;4.7908;0.00%;0.1777;3.2288
uniform_5;YES;6.1633;6.1633;0.00%;0.2481;3.6370
uniform_6;YES;7.8542;7.8542;0.00%;0.2675;6.1891
uniform_7;YES;7.2308;7.2308;0.00%;0.4482;4.7331
uniform_9;YES;9.7517;9.7517;0.00%;0.5781;7.9648
uniform_10;YES;8.8464;8.8464;0.00%;4.1119;5.9186
uniform_12;YES;11.0556;11.0556;0.00%;14.4753;8.3713
uniform_13;YES;10.6065;10.6065;0.00%;32.3939;7.7471
uniform_14;YES;9.6509;9.6509;0.00%;16.5979;5.7797
uniform_15;YES;9.7158;9.7158;0.00%;16.8764;6.3091
uniform_16;NO;15.6976;14.7871;5.80%;60.0659;12.7526
uniform_17;NO;10.6740;10.5718;0.96%;60.0349;6.7991
uniform_18;YES;10.5733;10.5733;0.00%;30.7337;5.8438
uniform_19;NO;11.9861;11.7723;1.78%;60.0922;8.3581
uniform_20;NO;14.5556;14.2413;2.16%;60.0924;11.6217
uniform_21;NO;13.0889;12.6954;3.01%;60.0528;9.7339
uniform_22;NO;12.7315;12.2366;3.89%;60.0519;8.6707
uniform_23;NO;11.4247;11.3980;0.23%;60.0872;7.6734
uniform_24;NO;14.2112;13.9236;2.02%;60.0613;11.0286
uniform_25;NO;14.6449;13.8071;5.72%;60.0529;10.1600
uniform_26;NO_SOL;;;;;
uniform_27;NO_SOL;;;;;
uniform_28;NO;14.5546;13.9208;4.35%;60.0630;10.1652
uniform_29;NO;20.0393;18.3773;8.29%;60.0708;16.0705
uniform_30;NO;14.8847;14.3703;3.46%;60.0672;10.3920
uniform_31;NO_SOL;;;;;
uniform_32;NO;16.3029;15.1216;7.25%;60.0800;11.2045
uniform_33;NO;14.3106;13.7657;3.81%;60.0849;9.1582
uniform_34;NO;15.6036;14.7394;5.54%;60.0949;10.4791
uniform_35;NO;13.8966;13.6297;1.92%;60.0841;8.7598
uniform_36;NO;20.7308;18.3391;11.54%;60.1155;15.3671
uniform_37;NO;15.7354;14.8657;5.53%;60.1548;9.8530
uniform_38;NO;17.1421;16.1787;5.62%;60.1709;11.5985
uniform_39;NO;20.8988;18.6426;10.80%;60.1361;15.5503
uniform_40;NO;26.8883;24.0194;10.67%;60.1738;21.9928
uniform_41;NO;20.8250;18.0601;13.28%;60.4604;15.1976
uniform_42;NO;23.3015;20.2584;13.06%;60.1765;17.4000
uniform_43;NO;21.0467;18.3476;12.82%;60.1859;14.5128
uniform_44;NO;25.5804;22.6307;11.53%;60.3239;19.7475
uniform_45;NO;19.0706;17.7175;7.10%;60.1862;13.7529
uniform_46;NO;24.1821;20.6160;14.75%;60.2277;17.6394
uniform_47;NO;26.6128;21.8377;17.94%;60.2397;18.9699
uniform_48;NO;19.3315;17.0192;11.96%;60.2163;12.3814
uniform_49;NO;19.0563;16.7857;11.92%;60.2047;12.0474
uniform_50;NO;19.7941;18.1077;8.52%;60.2003;13.1259
