Instance;MIP Value;Nb cols; Durations(s);DP Value;Nb cols;Duration(s)
uniform_2;3.2609;255;0.07;3.2609;266;0.01
uniform_3;4.4126;446;0.16;4.4126;452;0.02
uniform_4;4.5890;784;0.26;4.5890;790;0.03
uniform_5;5.6891;1013;0.39;5.6891;1009;0.04
uniform_6;7.6812;1284;0.79;7.6812;1268;0.07
uniform_7;7.0258;1550;0.66;7.0258;1563;0.07
uniform_9;8.9866;2118;1.36;8.9866;2207;0.17
uniform_10;8.4609;2756;1.47;8.4609;2750;0.16
uniform_12;10.3767;3835;2.18;10.3767;3748;0.30
uniform_13;10.0520;4095;2.58;10.0520;3899;0.33
uniform_14;9.3762;5124;2.52;9.3762;4606;0.39
uniform_15;9.4575;5175;2.65;9.4575;5205;0.45
uniform_16;13.7697;5583;4.11;13.7697;5351;0.58
uniform_17;10.3786;6281;3.40;10.3786;6532;0.64
uniform_18;10.3500;7179;3.65;10.3500;6902;0.66
uniform_19;11.4993;7692;4.33;11.4993;7519;0.81
uniform_20;12.9949;8326;5.97;12.9949;9254;1.29
uniform_21;12.3859;8774;6.76;12.3859;8536;1.13
uniform_22;12.1359;10902;6.48;12.1359;10822;1.47
uniform_23;11.1252;10629;6.90;11.1252;10663;1.39
uniform_24;13.6443;11607;9.48;13.6443;12783;1.98
uniform_25;13.7025;12329;9.55;13.7025;12808;1.89
uniform_26;24.9702;12607;13.19;24.9702;12086;2.05
uniform_27;17.3597;12368;12.78;17.3597;12677;2.20
uniform_28;13.7468;15905;10.62;13.7468;15602;2.47
uniform_29;16.4404;16203;13.59;16.4404;16279;3.17
uniform_30;14.2201;18196;13.22;14.2201;16345;2.79
uniform_31;21.7507;18038;19.23;21.7507;18320;3.62
uniform_32;14.7096;18965;14.94;14.7096;19911;3.96
uniform_33;13.6904;21316;16.64;13.6904;21959;4.26
uniform_34;14.6342;22622;16.95;14.6342;23371;4.33
uniform_35;13.5831;23211;17.95;13.5831;24380;6.00
uniform_36;17.3402;26340;26.54;17.3402;21765;5.23
uniform_37;14.8283;23064;19.77;14.8283;23911;5.66
uniform_38;16.2680;24894;21.69;16.2680;25265;5.71
uniform_39;18.4140;27740;29.16;18.4140;26536;7.16
uniform_40;19.9123;31948;35.83;19.9123;30405;8.07
uniform_41;18.0479;27460;28.51;18.0479;24300;6.76
uniform_42;19.6141;31694;32.87;19.6141;32467;8.58
uniform_43;18.1065;33034;34.52;18.1065;32930;10.09
uniform_44;20.4505;30628;37.51;20.4505;39159;11.13
uniform_45;17.5671;35815;34.66;17.5671;37114;10.96
uniform_46;19.7402;35253;40.95;19.7402;36837;12.05
uniform_47;20.1386;36121;45.34;20.1386;38033;12.51
uniform_48;17.2657;37366;39.88;17.2657;39005;17.35
uniform_49;17.0555;43593;58.94;17.0555;40459;18.91
uniform_50;18.2410;40786;50.68;18.2410;42951;15.35
