Instance;SINGLE Value;Nb cols; Durations(s);MULTI Value;Nb cols;Duration(s)
uniform_2;3.2609;255;0.08;3.2609;266;0.03
uniform_3;4.4126;446;0.15;4.4126;452;0.01
uniform_4;4.5890;784;0.27;4.5890;790;0.03
uniform_5;5.6891;1013;0.40;5.6891;1009;0.04
uniform_6;7.6812;1284;0.77;7.6812;1268;0.06
uniform_7;7.0258;1550;0.65;7.0258;1563;0.08
uniform_9;8.9866;2118;1.46;8.9866;2207;0.15
uniform_10;8.4609;2756;1.41;8.4609;2750;0.16
uniform_12;10.3767;3835;2.21;10.3767;3748;0.29
uniform_13;10.0520;4095;2.69;10.0520;3899;0.33
uniform_14;9.3762;5124;2.42;9.3762;4606;0.37
uniform_15;9.4575;5175;2.55;9.4575;5205;0.44
uniform_16;13.7697;5583;3.82;13.7697;5351;0.53
uniform_17;10.3786;6281;3.21;10.3786;6532;0.65
uniform_18;10.3500;7179;3.56;10.3500;6902;0.68
uniform_19;11.4993;7692;4.72;11.4993;7519;0.85
uniform_20;12.9949;8326;6.68;12.9949;9254;1.39
uniform_21;12.3859;8774;6.77;12.3859;8536;1.31
uniform_22;12.1359;10902;8.10;12.1359;10822;1.45
uniform_23;11.1252;10629;6.31;11.1252;10663;1.38
uniform_24;13.6443;11607;9.33;13.6443;12783;2.34
uniform_25;13.7025;12329;9.36;13.7025;12808;1.91
uniform_26;24.9702;12607;13.86;24.9702;12086;2.20
uniform_27;17.3597;12368;12.78;17.3597;12677;2.19
uniform_28;13.7468;15905;10.82;13.7468;15602;2.49
uniform_29;16.4404;16203;14.29;16.4404;16279;2.98
uniform_30;14.2201;18196;14.20;14.2201;16345;2.88
uniform_31;21.7507;18038;19.30;21.7507;18320;3.68
uniform_32;14.7096;18965;16.61;14.7096;19911;4.16
uniform_33;13.6904;21316;17.42;13.6904;21959;4.43
uniform_34;14.6342;22622;21.93;14.6342;23371;4.44
uniform_35;13.5831;23211;17.84;13.5831;24380;6.30
uniform_36;17.3402;26340;25.04;17.3402;21765;5.43
uniform_37;14.8283;23064;17.83;14.8283;23911;5.36
uniform_38;16.2680;24894;20.77;16.2680;25265;5.74
uniform_39;18.4140;27740;26.58;18.4140;26536;7.10
uniform_40;20.4459;31549;30.04;19.9123;30405;8.39
uniform_41;18.0479;27460;28.37;18.0479;24300;7.01
uniform_42;19.8432;31462;30.17;19.6141;32467;9.66
uniform_43;18.8708;32481;30.11;18.1065;32930;10.10
uniform_44;20.8748;30263;30.03;20.4505;39159;11.25
uniform_45;19.0491;35024;30.10;17.5671;37114;10.29
uniform_46;27.7644;33041;30.27;19.7402;36837;11.68
uniform_47;36.3379;32765;30.18;20.1386;38033;12.83
uniform_48;36.9797;32255;30.21;17.2657;39005;12.89
uniform_49;48.2322;36749;30.10;17.0555;40459;13.11
uniform_50;45.5134;34500;30.03;18.2410;42951;15.60
