Instance;NOSTAB Value;Nb cols; Durations(s);INOUT Value;Nb cols;Duration(s)
uniform_2;3.2609;266;0.01;3.2609;204;0.01
uniform_3;4.4126;452;0.01;4.4126;394;0.01
uniform_4;4.5890;790;0.03;4.5893;667;0.02
uniform_5;5.6891;1009;0.04;5.6891;771;0.03
uniform_6;7.6812;1268;0.06;7.6812;1033;0.05
uniform_7;7.0258;1563;0.06;8.0289;1217;0.05
uniform_9;8.9866;2207;0.15;8.9869;1628;0.10
uniform_10;8.4609;2750;0.16;8.4622;2197;0.13
uniform_12;10.3767;3748;0.31;10.3767;2843;0.20
uniform_13;10.0520;3899;0.28;10.0520;2825;0.21
uniform_14;9.3762;4606;0.34;9.3763;3599;0.27
uniform_15;9.4575;5205;0.41;9.4575;3732;0.30
uniform_16;13.7697;5351;0.49;13.7730;4134;0.37
uniform_17;10.3786;6532;0.59;10.3788;5314;0.48
uniform_18;10.3500;6902;0.64;10.3508;5652;0.60
uniform_19;11.4993;7519;0.77;11.4994;5382;0.54
uniform_20;12.9949;9254;1.17;12.9950;6582;0.80
uniform_21;12.3859;8536;1.07;12.3861;6003;0.76
uniform_22;12.1359;10822;1.32;12.1361;8400;1.02
uniform_23;11.1252;10663;1.41;11.1255;8209;1.02
uniform_24;13.6443;12783;1.81;13.6443;10220;1.41
uniform_25;13.7025;12808;1.81;13.7025;8723;1.33
uniform_26;24.9702;12086;1.91;24.9703;7727;1.15
uniform_27;17.3597;12677;1.94;17.3597;8270;1.36
uniform_28;13.7468;15602;2.34;13.7468;10765;1.66
uniform_29;16.4404;16279;2.88;16.4404;10646;1.89
uniform_30;14.2201;16345;2.85;14.2236;11097;1.91
uniform_31;21.7507;18320;3.47;21.7507;12506;2.42
uniform_32;14.7096;19911;4.02;14.7096;12527;2.70
uniform_33;13.6904;21959;4.19;13.6904;14849;2.78
uniform_34;14.6342;23371;4.45;14.6342;15802;3.07
uniform_35;13.5831;24380;5.75;13.5832;16313;3.31
uniform_36;17.3402;21765;5.37;17.3402;16183;3.82
uniform_37;14.8283;23911;5.12;14.8283;17983;4.12
uniform_38;16.2680;25265;5.67;16.2682;19592;4.89
uniform_39;18.4140;26536;6.92;18.4140;17053;3.91
uniform_40;19.9123;30405;7.40;19.9123;20510;5.31
uniform_41;18.0479;24300;6.47;18.0494;16715;4.41
uniform_42;19.6141;32467;8.60;19.6143;18699;5.68
uniform_43;18.1065;32930;10.29;18.1066;22287;6.65
uniform_44;20.4505;39159;11.03;20.4505;22781;7.20
uniform_45;17.5671;37114;10.42;17.5671;23667;6.10
uniform_46;19.7402;36837;10.96;19.7402;25108;6.63
uniform_47;20.1386;38033;12.49;20.1388;22027;7.37
uniform_48;17.2657;39005;12.93;17.2658;22366;7.15
uniform_49;17.0555;40459;13.26;17.0555;27599;8.61
uniform_50;18.2410;42951;13.99;18.2413;28018;9.53
