Instance;NOSTAB Value;Nb cols; Durations(s);INOUT Value;Nb cols;Duration(s)
uniform_2;3.2609;266;0.01;3.2609;221;0.01
uniform_3;4.4126;452;0.02;4.4126;356;0.01
uniform_4;4.5890;790;0.03;4.5890;592;0.02
uniform_5;5.6891;1009;0.04;5.6891;852;0.04
uniform_6;7.6812;1268;0.06;7.6812;1019;0.05
uniform_7;7.0258;1563;0.07;7.0258;1257;0.05
uniform_9;8.9866;2207;0.15;8.9866;1631;0.10
uniform_10;8.4609;2750;0.15;8.4609;1997;0.11
uniform_12;10.3767;3748;0.28;10.3767;2927;0.20
uniform_13;10.0520;3899;0.29;10.0520;2984;0.21
uniform_14;9.3762;4606;0.36;9.3762;3431;0.25
uniform_15;9.4575;5205;0.41;9.4575;3781;0.31
uniform_16;13.7697;5351;0.59;13.7697;3847;0.44
uniform_17;10.3786;6532;0.72;10.3786;4878;0.50
uniform_18;10.3500;6902;1.04;10.3500;5451;0.69
uniform_19;11.4993;7519;0.83;11.4993;5265;0.55
uniform_20;12.9949;9254;1.24;12.9949;6044;0.73
uniform_21;12.3859;8536;1.09;12.3859;5483;0.70
uniform_22;12.1359;10822;1.38;12.1359;7728;0.94
uniform_23;11.1252;10663;1.35;11.1252;7466;0.93
uniform_24;13.6443;12783;2.61;13.6443;9114;1.53
uniform_25;13.7025;12808;2.03;13.7025;8355;1.35
uniform_28;13.7468;15602;2.57;13.7468;9683;1.83
uniform_29;16.4404;16279;3.29;16.4404;10335;2.46
uniform_30;14.2201;16345;3.67;14.2201;10461;2.06
uniform_32;14.7096;19911;4.66;14.7096;11993;2.49
uniform_33;13.6904;21959;4.79;13.6904;13497;3.00
uniform_34;14.6342;23371;4.64;14.6342;16145;2.99
uniform_35;13.5831;24380;6.01;13.5831;16844;3.11
uniform_36;17.3402;21765;5.88;17.3402;16811;4.70
uniform_37;14.8283;23911;5.94;14.8283;17591;3.70
uniform_38;16.2680;25265;5.81;16.2680;20304;4.96
uniform_39;18.4140;26536;8.95;18.4140;16789;4.89
uniform_40;19.9123;30405;10.37;19.9123;20020;7.05
uniform_41;18.0479;24300;8.58;18.0479;17838;5.48
uniform_42;19.6141;32467;10.80;19.6141;17804;5.21
uniform_43;18.1065;32930;10.12;18.1065;21864;5.72
uniform_44;20.4505;39159;10.94;20.4505;22792;6.25
uniform_45;17.5671;37114;9.93;17.5671;24750;7.52
uniform_46;19.7402;36837;13.11;19.7402;24192;9.08
uniform_47;20.1386;38033;17.87;20.1386;21382;9.72
uniform_48;17.2657;39005;17.38;17.2657;25118;11.05
uniform_49;17.0555;40459;19.13;17.0555;25402;12.81
uniform_50;18.2410;42951;19.94;18.2410;25139;11.17
